seq,HOTA(0),LocA(0),HOTALocA(0),HOTA___5,HOTA___10,HOTA___15,HOTA___20,HOTA___25,HOTA___30,HOTA___35,HOTA___40,HOTA___45,HOTA___50,HOTA___55,HOTA___60,HOTA___65,HOTA___70,HOTA___75,HOTA___80,HOTA___85,HOTA___90,HOTA___95,HOTA___AUC,DetA___5,DetA___10,DetA___15,DetA___20,DetA___25,DetA___30,DetA___35,DetA___40,DetA___45,DetA___50,DetA___55,DetA___60,DetA___65,DetA___70,DetA___75,DetA___80,DetA___85,DetA___90,DetA___95,DetA___AUC,AssA___5,AssA___10,AssA___15,AssA___20,AssA___25,AssA___30,AssA___35,AssA___40,AssA___45,AssA___50,AssA___55,AssA___60,AssA___65,AssA___70,AssA___75,AssA___80,AssA___85,AssA___90,AssA___95,AssA___AUC,DetRe___5,DetRe___10,DetRe___15,DetRe___20,DetRe___25,DetRe___30,DetRe___35,DetRe___40,DetRe___45,DetRe___50,DetRe___55,DetRe___60,DetRe___65,DetRe___70,DetRe___75,DetRe___80,DetRe___85,DetRe___90,DetRe___95,DetRe___AUC,DetPr___5,DetPr___10,DetPr___15,DetPr___20,DetPr___25,DetPr___30,DetPr___35,DetPr___40,DetPr___45,DetPr___50,DetPr___55,DetPr___60,DetPr___65,DetPr___70,DetPr___75,DetPr___80,DetPr___85,DetPr___90,DetPr___95,DetPr___AUC,AssRe___5,AssRe___10,AssRe___15,AssRe___20,AssRe___25,AssRe___30,AssRe___35,AssRe___40,AssRe___45,AssRe___50,AssRe___55,AssRe___60,AssRe___65,AssRe___70,AssRe___75,AssRe___80,AssRe___85,AssRe___90,AssRe___95,AssRe___AUC,AssPr___5,AssPr___10,AssPr___15,AssPr___20,AssPr___25,AssPr___30,AssPr___35,AssPr___40,AssPr___45,AssPr___50,AssPr___55,AssPr___60,AssPr___65,AssPr___70,AssPr___75,AssPr___80,AssPr___85,AssPr___90,AssPr___95,AssPr___AUC,LocA___5,LocA___10,LocA___15,LocA___20,LocA___25,LocA___30,LocA___35,LocA___40,LocA___45,LocA___50,LocA___55,LocA___60,LocA___65,LocA___70,LocA___75,LocA___80,LocA___85,LocA___90,LocA___95,LocA___AUC,OWTA___5,OWTA___10,OWTA___15,OWTA___20,OWTA___25,OWTA___30,OWTA___35,OWTA___40,OWTA___45,OWTA___50,OWTA___55,OWTA___60,OWTA___65,OWTA___70,OWTA___75,OWTA___80,OWTA___85,OWTA___90,OWTA___95,OWTA___AUC,HOTA_TP___5,HOTA_TP___10,HOTA_TP___15,HOTA_TP___20,HOTA_TP___25,HOTA_TP___30,HOTA_TP___35,HOTA_TP___40,HOTA_TP___45,HOTA_TP___50,HOTA_TP___55,HOTA_TP___60,HOTA_TP___65,HOTA_TP___70,HOTA_TP___75,HOTA_TP___80,HOTA_TP___85,HOTA_TP___90,HOTA_TP___95,HOTA_TP___AUC,HOTA_FN___5,HOTA_FN___10,HOTA_FN___15,HOTA_FN___20,HOTA_FN___25,HOTA_FN___30,HOTA_FN___35,HOTA_FN___40,HOTA_FN___45,HOTA_FN___50,HOTA_FN___55,HOTA_FN___60,HOTA_FN___65,HOTA_FN___70,HOTA_FN___75,HOTA_FN___80,HOTA_FN___85,HOTA_FN___90,HOTA_FN___95,HOTA_FN___AUC,HOTA_FP___5,HOTA_FP___10,HOTA_FP___15,HOTA_FP___20,HOTA_FP___25,HOTA_FP___30,HOTA_FP___35,HOTA_FP___40,HOTA_FP___45,HOTA_FP___50,HOTA_FP___55,HOTA_FP___60,HOTA_FP___65,HOTA_FP___70,HOTA_FP___75,HOTA_FP___80,HOTA_FP___85,HOTA_FP___90,HOTA_FP___95,HOTA_FP___AUC,MOTA,MOTP,MODA,CLR_Re,CLR_Pr,MTR,PTR,MLR,sMOTA,CLR_F1,FP_per_frame,MOTAL,MOTP_sum,CLR_TP,CLR_FN,CLR_FP,IDSW,MT,PT,ML,Frag,CLR_Frames,IDF1,IDR,IDP,IDTP,IDFN,IDFP,Dets,GT_Dets,IDs,GT_IDs
MOT20-01,0.37033281849036276,0.7850701398627074,0.2907372376079797,0.37033281849036276,0.37031158145720633,0.36953773063991024,0.3689267584505949,0.36869773089257457,0.368241434615873,0.3651021490199646,0.36158165690166316,0.3600035599498008,0.3579123493590821,0.3548620259496978,0.34968668194709557,0.3391390364660023,0.3209643653093544,0.28057086528144887,0.21393954290431655,0.12193520136997298,0.04451884788317053,0.006091274407352884,0.29959766375239183,0.32038444120163034,0.32025157232704404,0.319322238423249,0.3187255000502563,0.3183279742765273,0.31746749008384795,0.31561794936074206,0.31278767260356216,0.3102966144012783,0.30742401594419533,0.30281515317015045,0.29292929292929293,0.2768235122378473,0.2512517285775595,0.20854826823876196,0.14981814994960782,0.0838944194307902,0.02817287723835273,0.0027131338606748443,0.25039852654238787,0.42806821684797236,0.4281967028761313,0.4276499345638823,0.4270350288238702,0.42703760822241077,0.42713587502185435,0.4223447351108632,0.41798736350283877,0.4176731461495312,0.41669239610411907,0.41585454407681555,0.417441268192612,0.41548235959186547,0.4100195623793919,0.3774666225214408,0.30550456025189837,0.17722505780496603,0.07034878972697928,0.013675559633627276,0.36014943849489844,0.32043281328636136,0.3203321590337192,0.31962757926522395,0.31917463512833416,0.3188726723704077,0.3182184197282335,0.31680926019124306,0.31464519375943634,0.312732762959235,0.3105183694011072,0.30694514343231,0.29919476597886263,0.2863110216406643,0.26517362858580773,0.22788122798188223,0.17206844489179668,0.10221439355812784,0.0361852038248616,0.0035732259687971816,0.2563637326834953,0.9995290423861852,0.9992150706436421,0.9970172684458398,0.9956043956043956,0.9946624803767661,0.9926216640502354,0.9882260596546311,0.9814756671899529,0.9755102040816327,0.9686028257456829,0.9574568288854003,0.9332810047095761,0.8930926216640502,0.8271585557299843,0.7108320251177394,0.536734693877551,0.31883830455259027,0.11287284144427001,0.011145996860282574,0.7996777658431793,0.45053796568682347,0.450673461144542,0.4503647448277135,0.4498973402023693,0.44993445259229337,0.45008689496273463,0.4469880752712189,0.4438654316685826,0.44381611284838646,0.44339118791864884,0.4432964834220181,0.44569496319800755,0.4461800171249817,0.44582683024467923,0.42753558587390583,0.373318439431463,0.24970464938046968,0.10661082735439013,0.02208114715881038,0.39156866370063365,0.781846948673762,0.78184124465135,0.7803656347018266,0.7794774423454435,0.7792912806232682,0.7789510978895208,0.7754285430847185,0.7711916319485094,0.7683493690687283,0.7645630335381167,0.7598099921747997,0.7551467919009996,0.7423225296428057,0.7166886226926007,0.6602418788436343,0.5582973292757191,0.3806710845342793,0.18831299968992454,0.04956625920958425,0.661703353394189,0.7850701398627074,0.7852881406326351,0.786737803286872,0.7876131002640245,0.7881497559331246,0.7892071577175127,0.7912722084937763,0.7941593387893758,0.7964149361548895,0.798705977036594,0.8018618300570938,0.8077080485762848,0.8158218465913964,0.8268599511669056,0.8430579216503342,0.8646571309189741,0.891756824422007,0.923160830486754,0.9597616320885276,0.8230139249541994,0.3703607741150134,0.3703581703208816,0.3697143672588139,0.36918660527147573,0.3690130395210274,0.36867669191134217,0.36579054536187655,0.3626537122081431,0.3614139966979963,0.3597091093927027,0.3572737503352801,0.3534066249333877,0.34490169447020824,0.3297368271020213,0.2932874996694532,0.2292764588654848,0.13459179695226137,0.05045379366413466,0.006990412349833982,0.3035155721263862,6367.0,6365.0,6351.0,6342.0,6336.0,6323.0,6295.0,6252.0,6214.0,6170.0,6099.0,5945.0,5689.0,5269.0,4528.0,3419.0,2031.0,719.0,71.0,5093.9473684210525,13503.0,13505.0,13519.0,13528.0,13534.0,13547.0,13575.0,13618.0,13656.0,13700.0,13771.0,13925.0,14181.0,14601.0,15342.0,16451.0,17839.0,19151.0,19799.0,14776.052631578947,3.0,5.0,19.0,28.0,34.0,47.0,75.0,118.0,156.0,200.0,271.0,425.0,681.0,1101.0,1842.0,2951.0,4339.0,5651.0,6299.0,1276.0526315789473,0.3075490689481631,0.7980748425698533,0.3170608958228485,0.31882234524408654,0.9945054945054945,0.12162162162162163,0.43243243243243246,0.44594594594594594,0.2431708166925023,0.48285060975609756,0.08158508158508158,0.3169463280420648,5055.80412768002,6335,13535,35,189,9,32,33,457.0,429,0.353734756097561,0.23356819325616507,0.7285714285714285,4641,15229,1729,6370,19870,98,74
MOT20-02,0.33089857232511427,0.7824504887733802,0.25891174965019936,0.33089857232511427,0.33036973750150883,0.3297029212412355,0.32890167652352553,0.3278306538697734,0.3268000537847541,0.32621099620350347,0.32513802254711927,0.32386043147861676,0.32186172163004134,0.31794879075195176,0.31098642793467396,0.2982947389960388,0.27534165711218195,0.23765417530122485,0.1847670667638657,0.11541299129550243,0.04660964084749945,0.0069701903211225845,0.2666084456015397,0.34775873753509534,0.347306548291147,0.3465159468138614,0.3455181612572732,0.3440458796495948,0.3426372439334902,0.34158485814144735,0.33981161856609393,0.33752882398155265,0.3341191804189907,0.32802711829912806,0.3177524090797221,0.29982134965048024,0.26842824601366744,0.21817683296775098,0.15523775275925977,0.08701763153374041,0.030213477658110128,0.0034262044574295296,0.2702593695267282,0.3148558277583145,0.3142588701360169,0.31370566715475606,0.31308430337309423,0.31237966786913013,0.3116948815244641,0.3115290725211748,0.3110980553046903,0.31074554712177194,0.3100539385998269,0.30818011042746496,0.3043645165104117,0.2967759014374526,0.28243312418553085,0.2588703221595192,0.2199134447241375,0.1530742485746803,0.07190362673625364,0.014179992384085627,0.26490005886856716,0.3481924752168125,0.34785643199648447,0.3472683563609104,0.3465251838544157,0.345426581018728,0.344373214770392,0.3435848056765455,0.3422535575344767,0.34053456721510644,0.33795608173605096,0.3333161003476755,0.32539323519148,0.3112664951984594,0.2855721135826085,0.2416861614816921,0.1813340915847023,0.10802497059621823,0.03957555156324721,0.004607669540267025,0.2776182970771722,0.9964307510217669,0.9954690880846263,0.9937861779446304,0.9916594233721081,0.9885155253083794,0.9855010818708043,0.9832448726721285,0.9794352079596101,0.9745159321657759,0.9671370184750245,0.9538586725352763,0.9311856194403861,0.89075878904444,0.817228561389233,0.691639080502284,0.5189281156954487,0.30913764725463727,0.1132543043663196,0.013185878349638452,0.7944669340764483,0.33591350714406815,0.33549138970291803,0.3350429869351338,0.33459681447056644,0.33408471242288273,0.33350123172874446,0.333416585726628,0.3331896231372009,0.3330705254166738,0.3328222648274029,0.3318018617598118,0.32969426034291943,0.3249910370107175,0.3150722707317394,0.2960965258818425,0.26295535523547575,0.19727284765683484,0.10157840431065607,0.021011956069969064,0.29061074529011505,0.7929306277548955,0.7922859491956489,0.7912196574765837,0.7900437139294341,0.7885676222812615,0.787414425105699,0.7869013501596875,0.7854671271963017,0.783814533760236,0.781002462683585,0.7752899270152811,0.7648418773742353,0.7462941083286996,0.7110731668165581,0.6485547361363019,0.5560617762848707,0.4126832116849009,0.21373535957919698,0.05000527406090828,0.6714835214118043,0.7824504887733802,0.7831341354108318,0.7842463283984812,0.785549877603346,0.7873353645690472,0.7889086611991252,0.7899753295457319,0.7915791505688206,0.7934256085839569,0.795837329371141,0.7995768516636784,0.8049964046220771,0.8130297738155613,0.8252078335182919,0.8430558056662663,0.865357847147778,0.8924737513414824,0.9248069146664669,0.9610524536731502,0.8216842057967692,0.3311048625490207,0.33063116805401366,0.33006067838192266,0.3293806244882858,0.3284878089850511,0.32762687371162974,0.3271645699717228,0.32630417737149436,0.32529924746782624,0.3237045168298206,0.3205017825416867,0.31470328041635265,0.3039348527230783,0.28399828207121497,0.2501307147958107,0.19969427815116314,0.1285917617941291,0.05334440633735731,0.00808311319909413,0.27067089472845657,53880.0,53828.0,53737.0,53622.0,53452.0,53289.0,53167.0,52961.0,52695.0,52296.0,51578.0,50352.0,48166.0,44190.0,37399.0,28060.0,16716.0,6124.0,713.0,42959.21052631579,100862.0,100914.0,101005.0,101120.0,101290.0,101453.0,101575.0,101781.0,102047.0,102446.0,103164.0,104390.0,106576.0,110552.0,117343.0,126682.0,138026.0,148618.0,154029.0,111782.78947368421,193.0,245.0,336.0,451.0,621.0,784.0,906.0,1112.0,1378.0,1777.0,2495.0,3721.0,5907.0,9883.0,16674.0,26013.0,37357.0,47949.0,53360.0,11113.78947368421,0.334589187163149,0.7953928703095243,0.3412195783950059,0.34532964547440254,0.9882381225380504,0.07407407407407407,0.6259259259259259,0.3,0.2639322796056019,0.5118118909082202,0.22861250898634075,0.34120011924777516,42503.40881073005,53437,101305,636,1026,20,169,81,2628.0,2782,0.34293513397026076,0.23138514430471366,0.6621604127753222,35805,118937,18268,54073,154742,584,270
MOT20-03,0.24660743912114558,0.7267305142326572,0.17921715104610883,0.24660743912114558,0.24651190652784388,0.24629804842259476,0.245998093848323,0.24573248784975105,0.24558268740897918,0.24529715564851481,0.24488402851620053,0.24390765717113844,0.24126347749765445,0.2352599075770418,0.22085908340832555,0.1945434236442936,0.15240551040276948,0.10349623421620949,0.05959851474735593,0.02783023894177391,0.008767924258336494,0.0013659091124706175,0.18190577517477485,0.18576712446598045,0.18550652626751007,0.18533663262283961,0.18507999681604712,0.18482724373054224,0.18465000366021725,0.18433713471133287,0.18388508613450724,0.18283916483935553,0.18047199342850165,0.17533898786780264,0.16414885431718806,0.1436490061544985,0.11136524467986635,0.07398654790038175,0.03976891789210209,0.015846156365482346,0.0037322690254031608,0.00028755942670862704,0.13530655001611933,0.32737347474540157,0.3275794188090269,0.3273110544758175,0.32696705866682535,0.3267075479027428,0.32662255705121507,0.32641656638244615,0.3261177329979774,0.3253730965079773,0.32253240222185364,0.31565839854674793,0.2971615910867681,0.26346958253604236,0.2085699148589753,0.14477591941928167,0.08931555466829055,0.048877606764209984,0.020597790587086988,0.006488077003369184,0.24515343922273977,0.1859063055939909,0.18568632076975558,0.18554285240612386,0.18532605576774705,0.1851124473152287,0.18496260257988,0.18469798315362593,0.184315400850608,0.18342908518194978,0.1814173399052471,0.1770272079781163,0.16732237022489463,0.14905087706992967,0.11890976796383322,0.08174827359735763,0.04538701388136123,0.01851060709435117,0.0044124492281402035,0.00034113588685766023,0.1373213734973157,0.9959860622416561,0.9948075017934616,0.9940388754142042,0.9928773955522153,0.9917329962764322,0.9909302087247635,0.9895125200696888,0.9874628497250025,0.9827144467598128,0.9719365968640044,0.9484166296587299,0.8964233252485225,0.7985344857035493,0.6370546237146859,0.4379633109008301,0.2431592252246097,0.09916988351040208,0.023639531308714514,0.001827622724011888,0.7356941100744893,0.332776424064208,0.3330104240439126,0.3328492707919237,0.33263548687342576,0.3324499225750026,0.3323983813061832,0.33228197985572017,0.3321322923802163,0.33170795907769346,0.329880586221113,0.32532206725643864,0.3121006541675991,0.28611295816089694,0.23830862955742232,0.17458608296251665,0.11086522800796836,0.06132309645357217,0.026376724981968625,0.008553218447997408,0.2560879677466199,0.9247096741884021,0.9250392525067437,0.9247918237383329,0.924520303933055,0.9238829847311145,0.9235620189198234,0.9231034975411148,0.922009482418718,0.9186165695890177,0.9116603122060597,0.896390839968909,0.862142524041184,0.799325341720108,0.6997597704762069,0.5661637320614564,0.4183033361145978,0.27436790357001867,0.1303447649273117,0.038241268769531385,0.7319439684958793,0.7267305142326572,0.7275066854148042,0.7279723563817816,0.7286244779833376,0.729208993894754,0.7295769199358103,0.7301573614248313,0.7308870800559848,0.7323542512498622,0.7351501921214827,0.7402793293309614,0.7496979802682842,0.7646538467735055,0.7870337415410926,0.8149980414380118,0.8474675112556987,0.8833123600535281,0.9214333249118594,0.9606394604955127,0.7772465488823033,0.2466998038900422,0.24663133831397638,0.24643503539776843,0.2461615635080024,0.2459220074508055,0.24579047624651382,0.24553712851373305,0.24517039112016312,0.24430081750840812,0.24189454405657415,0.23638977340311124,0.22298381501902545,0.1981675360856196,0.15748333302326695,0.10878962023555575,0.06366919443146098,0.03007913187784003,0.009533451902505489,0.0014877217154243387,0.1833224570368314,58311.0,58242.0,58197.0,58129.0,58062.0,58015.0,57932.0,57812.0,57534.0,56903.0,55526.0,52482.0,46751.0,37297.0,25641.0,14236.0,5806.0,1384.0,107.0,43071.94736842105,255347.0,255416.0,255461.0,255529.0,255596.0,255643.0,255726.0,255846.0,256124.0,256755.0,258132.0,261176.0,266907.0,276361.0,288017.0,299422.0,307852.0,312274.0,313551.0,270586.05263157893,235.0,304.0,349.0,417.0,484.0,531.0,614.0,734.0,1012.0,1643.0,3020.0,6064.0,11795.0,21249.0,32905.0,44310.0,52740.0,57162.0,58439.0,15474.052631578947,0.17782106625687852,0.7342949091385531,0.1804576959618438,0.18355661261628908,0.9833976702080416,0.008547008547008548,0.24358974358974358,0.7478632478632479,0.129049139823448,0.30936798099966684,0.4041580041580042,0.1804483944120362,42276.29509874306,57574,256084,972,827,6,171,525,3243.0,2405,0.2331463391043621,0.13833219621371048,0.7411095548799235,43389,270269,15157,58546,313658,961,702
MOT20-05,0.10310734671732362,0.7729145682062195,0.07969317036690915,0.10310734671732362,0.10300826978227856,0.10284683957961709,0.10274171864285767,0.10259350587135813,0.10251538307367658,0.1023825282952941,0.10221621023898177,0.1017974063654347,0.10114043239794328,0.1001124129439714,0.09789116316020958,0.09317117110171612,0.0850759497403,0.07179626016452355,0.05161101847523618,0.030968050331451398,0.011796879705823226,0.001599148711627198,0.08254587869998023,0.06870128624427192,0.06863515558044485,0.06853101637944503,0.06842689747333515,0.06828810382476477,0.06816090798741312,0.06803209113412072,0.06783727340041212,0.06752208341317772,0.0669647683919497,0.06612494984103466,0.06429675234534006,0.060722621460598245,0.05476724531505519,0.04444585561598394,0.029947860366572786,0.015673589413710717,0.004848338502179061,0.0004214374056834672,0.053807801794499656,0.15474419080432825,0.15459575422834512,0.15434576882604156,0.15426478679384192,0.15413266524409389,0.15418520787139992,0.1540770234369509,0.1540178888669226,0.15347144843441013,0.152757745771173,0.15156904087728573,0.1490383180380538,0.14295936037771542,0.1321577739135328,0.11597713447456236,0.08894449204205375,0.06118701441115902,0.0287039303734911,0.006067986769593119,0.12722092271341867,0.06870490017699553,0.06864301362741822,0.06854554231183395,0.06844807099624968,0.06831810924213731,0.06819897763420098,0.06807829886252521,0.06789573354127214,0.06760022526704046,0.06707728392311216,0.06628823041600139,0.0645662371740126,0.06118259007587291,0.05549366900597824,0.04548042528436869,0.03107633087024866,0.01649276546235441,0.005156696743529761,0.0004502246481749657,0.05408933290859617,0.9992349407079049,0.9983348709524988,0.9969172610877343,0.9954996512229698,0.9936095047366171,0.9918768704574604,0.9901217344344186,0.9874665286559708,0.983168695573907,0.9755631061407259,0.9640872167592989,0.9390427758151256,0.8898314619383002,0.8070925496725996,0.6614612632479017,0.451970027677145,0.23986858981571071,0.07499831236920862,0.00654800747057897,0.7866680720387409,0.15645317417898416,0.1563418170057218,0.15615039874427097,0.1561018628625541,0.15601498764232366,0.15608728625704238,0.15600562318498595,0.15598671130310032,0.15559505987342948,0.15509661527972168,0.1542882330222506,0.15241108243004733,0.14767498715101662,0.1385050565217728,0.12437678073193999,0.09819768938147067,0.06999323699665816,0.03436595853014974,0.007897204563131395,0.13092335608739852,0.9018929715709598,0.9013961354548842,0.9008124085394972,0.9002460234097176,0.8995814163144736,0.8992340412893014,0.8981117298633348,0.8965009300797265,0.8937776267327664,0.8892713563592827,0.882982553847359,0.8684005492692712,0.8408004110079004,0.7963600138102348,0.7106028923815486,0.5852188249359905,0.42090638014913234,0.2212237104758604,0.0573150038138028,0.7560334199634233,0.7729145682062195,0.7735364347963104,0.7744596213981592,0.7753159198786755,0.7763651679905357,0.7772453378615339,0.778043966871737,0.7791202114434429,0.7806670876444415,0.7830256634680585,0.7860863625194129,0.7916522332103119,0.8007349860026182,0.8133934078059006,0.832366567010638,0.858530427964631,0.8885910338396041,0.923373110545898,0.9598986515408866,0.8118589873683693,0.10311005858877843,0.1030141663279245,0.10285773878380748,0.10275761323953672,0.10261604290717795,0.1025440078363735,0.10241729174992398,0.10226024419635346,0.10185629330691899,0.10122536581582482,0.10023593919151877,0.09809609263605204,0.09352338714727322,0.0856383077957785,0.07262705693586595,0.052574408829629854,0.03176701241893775,0.012166242817052706,0.0016528633362956565,0.08278632283479075,44407.0,44367.0,44304.0,44241.0,44157.0,44080.0,44002.0,43884.0,43693.0,43355.0,42845.0,41732.0,39545.0,35868.0,29396.0,20086.0,10660.0,3333.0,291.0,34960.31578947369,601937.0,601977.0,602040.0,602103.0,602187.0,602264.0,602342.0,602460.0,602651.0,602989.0,603499.0,604612.0,606799.0,610476.0,616948.0,626258.0,635684.0,643011.0,646053.0,611383.6842105263,34.0,74.0,137.0,200.0,284.0,361.0,439.0,557.0,748.0,1086.0,1596.0,2709.0,4896.0,8573.0,15045.0,24355.0,33781.0,41108.0,44150.0,9480.684210526315,0.06526555518423625,0.7822043976794227,0.06699992573614051,0.06787871474013837,0.9872190094732342,0.0,0.08041060735671514,0.9195893926432849,0.05048186962266117,0.12702360358143272,0.171342383107089,0.06699520749691713,34317.653539389314,43873,602471,568,1121,0,94,1075,3844.0,3315,0.08672741880614084,0.04634528981471167,0.6740397380797012,29955,616389,14486,44441,646344,1216,1169
COMBINED,0.20054543476325573,0.760017023050162,0.1524179443150701,0.20054543476325573,0.2003730280521031,0.20009259022926681,0.19977789935584303,0.1994201246075043,0.1991240017162448,0.19877659303091189,0.19826967756389108,0.1975228639578928,0.19598506277444855,0.19280622626175117,0.1858178946732052,0.1729360939228572,0.15200972829734305,0.1241486921346252,0.0913076927557099,0.055249280758303314,0.021865997966801175,0.0032313456851554906,0.15732948571090072,0.14357150471464983,0.14340730875002863,0.14319281697645436,0.14293613686592527,0.1426071509994833,0.14230549564081782,0.14199294768477136,0.14150386717496163,0.14072842444204628,0.13931467893129235,0.13664496197885106,0.13116049821660902,0.12103968155952234,0.10432356093991935,0.08073067572518067,0.05339937009177573,0.02788417452533237,0.008985731653094792,0.0009114308230174066,0.10982317987861755,0.2801285079815662,0.27996725355715796,0.27960232580130534,0.27922406429992047,0.27886670352608495,0.27862850890572394,0.2782682843143372,0.27780770819983064,0.277238105527112,0.27570780857663807,0.2720498461630159,0.26325220207504535,0.24708337130404878,0.2214931822576447,0.1909174873155499,0.15612721165141888,0.10947008746974699,0.05320900796313924,0.011456267083885523,0.22686831231437748,0.1436303447692343,0.14348668357696978,0.1432989545343174,0.14307420849733918,0.14278600475580241,0.1425215976534751,0.14224749562406247,0.14181827476128445,0.14113698579428774,0.13989250969933387,0.13753399834657426,0.13265392459461983,0.12352306599425003,0.10807552171928074,0.08545990090021804,0.05799417246746471,0.031035224314172043,0.010188487009679063,0.0010417639831696065,0.11112626942081762,0.9971547451508291,0.9961573762467111,0.9948540659609619,0.9932937649146424,0.9912929082787738,0.9894572599889861,0.9875543045952395,0.9845744355381509,0.9798445817781313,0.9712047971608639,0.9548308144159579,0.92095086581411,0.857559811540109,0.7503151196230802,0.5933060025699076,0.40262497705439637,0.21546227742764487,0.0707336474331518,0.007232454261763446,0.7714949584080742,0.2903674848085453,0.29028499414854914,0.29001585446480305,0.28975365634107314,0.2894945400749634,0.2893026662057368,0.2890707863611693,0.2887822013415757,0.2884543471218044,0.2875205107234209,0.28511518333178126,0.278986305167021,0.2669100518722613,0.24569579801768746,0.21804315729476995,0.18549230539294662,0.139350037449726,0.07350920934448944,0.01671959985445892,0.24225624680614652,0.8693414459901889,0.869104593811709,0.8684694265531131,0.8678181714038511,0.8669589373290241,0.8664097544267039,0.865662413688423,0.8642516802639696,0.8616497314498802,0.8567779611517418,0.8473442165075618,0.8271004880456152,0.7904887314179867,0.7328201390379339,0.6461239293181112,0.5352742909976881,0.39052047822483754,0.20432942651518166,0.05071357586925935,0.7200610206317253,0.760017023050162,0.7607021942639397,0.761534193756027,0.762457413177566,0.7635451313030441,0.7644547855559776,0.7653017657858916,0.766475851633949,0.7681186079923081,0.7706928623085064,0.7748625448528825,0.7821214642855983,0.7935369678620949,0.810212123689587,0.8323957626511096,0.8593667814761529,0.8897464379923972,0.9238872388983487,0.9606534731122329,0.8036885591393567,0.2005865254225307,0.20042847283524662,0.20016673293205006,0.19987436552274845,0.19954513889321007,0.1992751370368348,0.19895468467799157,0.19848982314538527,0.19780937935652912,0.19639108249991755,0.19343242513180156,0.18687278497264037,0.17470116078512987,0.1547190719651546,0.12773327501518753,0.09515497064986543,0.05828746623688177,0.02328345520815916,0.0034546673399277437,0.15837687471722067,162965.0,162802.0,162589.0,162334.0,162007.0,161707.0,161396.0,160909.0,160136.0,158724.0,156048.0,150511.0,140151.0,122624.0,96964.0,65801.0,35213.0,11560.0,1182.0,126085.42105263157,971649.0,971812.0,972025.0,972280.0,972607.0,972907.0,973218.0,973705.0,974478.0,975890.0,978566.0,984103.0,994463.0,1011990.0,1037650.0,1068813.0,1099401.0,1123054.0,1133432.0,1008528.5789473684,465.0,628.0,841.0,1096.0,1423.0,1723.0,2034.0,2521.0,3294.0,4706.0,7382.0,12919.0,23279.0,40806.0,66466.0,97629.0,128217.0,151870.0,162248.0,37344.57894736842,0.13735508287399945,0.7700901356325399,0.14014281508953705,0.14209149543368935,0.9864712721042648,0.01580135440180587,0.21038374717832958,0.7738148984198645,0.10468684643107035,0.24840298171710667,0.24756466241182398,0.14013973025258641,124153.16157654245,161219,973395,2211,3163,35,466,1714,10172.0,8931,0.17532533565888367,0.10028961391274918,0.6962613963164658,113790,1020824,49640,163430,1134614,2859,2215
